[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.001913s ]
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001509s ]
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001563s ]
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:49:19+08:00 ] /web/tuiguang/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002464s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002625s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003521s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003767s ]
