[ 2016-11-22T17:06:29+08:00 ] /qudao/index.php/User | INFO: Tag[ route_check ] --START--
[ 2016-11-22T17:06:29+08:00 ] /qudao/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.001751s ]
[ 2016-11-22T17:06:29+08:00 ] /qudao/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001915s ]
[ 2016-11-22T17:06:29+08:00 ] /qudao/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T17:06:29+08:00 ] /qudao/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001086s ]
[ 2016-11-22T17:06:29+08:00 ] /qudao/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001194s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --START--
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Run LocationTemplate Behavior [ RunTime:0.002256s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --END-- [ RunTime:0.002389s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --START--
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Run ParseTemplate Behavior [ RunTime:0.021332s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021449s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --START--
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Run ContentReplace Behavior [ RunTime:0.001819s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Run TokenBuild Behavior [ RunTime:0.001889s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001541s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Run ShowRuntime Behavior [ RunTime:0.001982s ]
[ 2016-11-22T17:06:32+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007531s ]
