[ 2016-11-23T23:32:10+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001777s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002308s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002430s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001073s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001176s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002984s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003102s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.020092s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020208s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001760s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001869s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001556s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001983s ]
[ 2016-11-23T23:32:10+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007456s ]
